region,year,indicator,value,unit,theme,source_csv,source_label,inherited,survey_type,dt_years
Ahafo,2003,asfr_15_19,102.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,5.0
Ahafo,2008,asfr_15_19,97.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,5.0
Ahafo,2014,asfr_15_19,105.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,6.0
Ahafo,2016,asfr_15_19,102.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,MIS,2.0
Ahafo,2019,asfr_15_19,99.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,MIS,3.0
Ahafo,2022,asfr_15_19,60.0,births/1000,adolescent,fertility-rates,Ahafo,False,DHS,3.0
Bono,1988,asfr_15_19,149.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,
Bono,1993,asfr_15_19,107.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono,1998,asfr_15_19,93.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono,2003,asfr_15_19,102.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono,2008,asfr_15_19,97.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono,2014,asfr_15_19,105.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,6.0
Bono,2016,asfr_15_19,102.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,MIS,2.0
Bono,2019,asfr_15_19,99.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,MIS,3.0
Bono,2022,asfr_15_19,36.0,births/1000,adolescent,fertility-rates,Bono,False,DHS,3.0
Bono East,1988,asfr_15_19,149.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,
Bono East,1993,asfr_15_19,107.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono East,1998,asfr_15_19,93.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono East,2003,asfr_15_19,102.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,5.0
